,area,district,metro,metro_distance,metro_num,price,square,S,title,type
14045,10.1 ㎡05/5层4室1厅,宝山,距1号线宝安公路站直线589米,589,589.0,1760,10.1,10.1,友家 · 天馨花园(公寓)4居室-南卧,合租
14046,20.5 ㎡06/14层4室1厅,宝山,距7号线祁华路站直线515米,515,515.0,2190,20.5,20.5,友家 · 保利叶之林(一期)4居室-南卧,合租
14047,13.54 ㎡11/18层4室1厅,宝山,距3号线殷高西路站直线304米,304,304.0,1890,13.54,13.54,友家 · 高境一村4居室-北卧,合租
14048,7.2 ㎡09/15层4室1厅,宝山,距7号线上海大学站直线466米,466,466.0,1690,7.2,7.2,友家 · 锦秋花园(公寓)4居室-南卧,合租
14049,25.6 ㎡05/26层3室1厅,宝山,距7号线刘行站直线1673米,1673,1673.0,1890,25.6,25.6,友家 · 保利叶上海(二期)3居室-南卧,合租
14050,14.5 ㎡04/6层3室1厅,宝山,距7号线上大路站直线1126米,1126,1126.0,1790,14.5,14.5,友家 · 慧华东苑3居室-南卧,合租
14051,12.8 ㎡11/11层3室1厅,宝山,距7号线南陈路站直线896米,896,896.0,1730,12.8,12.8,友家 · 经纬阳光水岸家园(一期)3居室-南卧,合租
14052,16.5 ㎡04/6层3室1厅,宝山,距7号线场中路站直线451米,451,451.0,2860,16.5,16.5,友家 · 上大阳光乾心园3居室-南卧,合租
14053,11.5 ㎡04/6层4室1厅,宝山,距1号线宝安公路站直线589米,589,589.0,1590,11.5,11.5,友家 · 天馨花园(公寓)4居室-南卧,合租
14054,13 ㎡04/6层3室1厅,宝山,距7号线大华三路站直线952米,952,952.0,2230,13,13.0,友家 · 滨江雅苑3居室-南卧,合租
14055,11.84 ㎡04/14层3室1厅,宝山,距7号线顾村公园站直线1043米,1043,1043.0,1530,11.84,11.84,友家 · 菊泉新城(菊泉街39弄)3居室-南卧,合租
14056,11.92 ㎡01/24层3室1厅,宝山,距7号线刘行站直线1087米,1087,1087.0,1590,11.92,11.92,友家 · 中怡家园3居室-南卧,合租
14057,14.5 ㎡06/14层2室1厅,宝山,距7号线大场镇站直线1081米,1081,1081.0,2330,14.5,14.5,友家 · 中环一号(一期)2居室-南卧,合租
14058,8.7 ㎡10/14层3室1厅,宝山,距7号线祁华路站直线515米,515,515.0,1830,8.7,8.7,友家 · 保利叶之林(一期)3居室-北卧,合租
14059,15.3 ㎡05/11层3室1厅,宝山,距7号线南陈路站直线896米,896,896.0,1690,15.3,15.3,友家 · 经纬阳光水岸家园(一期)3居室-南卧,合租
14060,12.1 ㎡02/11层4室1厅,宝山,距7号线祁华路站直线651米,651,651.0,1560,12.1,12.1,友家 · 瑞丰园4居室-南卧,合租
14061,18.1 ㎡05/6层4室1厅,宝山,距7号线刘行站直线1442米,1442,1442.0,1460,18.1,18.1,友家 · 好日子大家园D区4居室-南卧,合租
14062,9.6 ㎡02/6层3室1厅,宝山,距7号线刘行站直线1144米,1144,1144.0,1190,9.6,9.6,友家 · 好日子大家园C区3居室-北卧,合租
14063,13.8 ㎡06/6层3室1厅,宝山,距7号线上大路站直线1126米,1126,1126.0,1760,13.8,13.8,友家 · 慧华东苑3居室-南卧,合租
14064,12.1 ㎡02/10层3室1厅,宝山,距7号线南陈路站直线818米,818,818.0,1590,12.1,12.1,友家 · 经纬城市绿洲3居室-南卧,合租
14065,9 ㎡19/21层3室1厅,宝山,距7号线刘行站直线388米,388,388.0,1160,9,0.0,友家 · 龙湖北城天街3居室-南卧,合租
14066,13 ㎡05/6层3室1厅,宝山,距7号线刘行站直线1144米,1144,1144.0,1460,13,13.0,友家 · 好日子大家园C区3居室-南卧,合租
14067,10.36 ㎡06/6层3室1厅,宝山,距7号线场中路站直线1138米,1138,1138.0,2290,10.36,10.36,友家 · 美好家小区3居室-南卧,合租
14068,7.5 ㎡04/18层3室1厅,宝山,距7号线刘行站直线1080米,1080,1080.0,1190,7.5,7.5,友家 · 宝沁苑3居室-北卧,合租
14069,9.4 ㎡06/18层3室1厅,宝山,距1号线富锦路站直线692米,692,692.0,1590,9.4,9.4,友家 · 远洋香奈3居室-南卧,合租
14070,12.2 ㎡14/14层4室1厅,宝山,距7号线刘行站直线2029米,2029,2029.0,1130,12.2,12.2,友家 · 菊华苑4居室-南卧,合租
14071,8.5 ㎡06/6层3室1厅,宝山,距1号线共富新村站直线422米,422,422.0,1690,8.5,8.5,友家 · 共富一村3居室-南卧,合租
14072,11.1 ㎡04/5层3室1厅,宝山,距3号线友谊路站直线1068米,1068,1068.0,1790,11.1,11.1,友家 · 宝钢四村3居室-南卧,合租
14073,12 ㎡11/11层3室1厅,宝山,距3号线长江南路站直线1572米,1572,1572.0,1890,12,12.0,友家 · 宝景苑3居室-南卧,合租
14074,11.8 ㎡14/18层3室1厅,宝山,距1号线宝安公路站直线135米,135,135.0,1890,11.8,11.8,友家 · 柏丽华庭3居室-南卧,合租
14075,11 ㎡02/6层3室1厅,宝山,距7号线上大路站直线1162米,1162,1162.0,1660,11,11.0,友家 · 慧华苑3居室-南卧,合租
14076,10 ㎡01/6层4室1厅,宝山,距7号线大华三路站直线572米,572,572.0,2490,10,10.0,友家 · 文华苑(宝山)4居室-南卧,合租
14077,14.16 ㎡05/6层2室1厅,宝山,距3号线长江南路站直线1619米,1619,1619.0,2490,14.16,14.16,友家 · 淞南十村2居室-南卧,合租
14078,13.2 ㎡02/14层3室1厅,宝山,距1号线宝安公路站直线177米,177,177.0,1930,13.2,13.2,友家 · 荣域飘鹰锦和花园(公寓)3居室-南卧,合租
14079,13.12 ㎡02/16层4室1厅,宝山,距3号线长江南路站直线1818米,1818,1818.0,2190,13.12,13.12,友家 · 骏景雅苑4居室-南卧,合租
14080,23 ㎡06/6层6室2厅,宝山,距1号线共康路站直线1572米,1572,1572.0,2330,23,23.0,友家 · 城投世纪名城6居室-南卧,合租
14082,14 ㎡06/6层3室1厅,宝山,距7号线上海大学站直线1188米,1188,1188.0,1390,14,14.0,友家 · 祁连三村3居室-南卧,合租
14083,14.1 ㎡04/6层4室1厅,宝山,距7号线刘行站直线1442米,1442,1442.0,1760,14.1,14.1,友家 · 好日子大家园D区4居室-南卧,合租
