,district,type,metro_num,S,mon_price,聚类类别,density
404,闵行,整租,529.0,92.5,7500,豪宅,6845
405,闵行,整租,1438.0,96.04,5990,豪宅,6845
406,闵行,整租,1932.0,56.0,2990,高端房源,6845
407,闵行,整租,1871.0,50.0,3390,高端房源,6845
408,闵行,整租,900.0,56.0,5250,高端房源,6845
409,闵行,整租,1699.0,82.0,5190,豪宅,6845
410,闵行,整租,848.0,54.3,5760,高端房源,6845
411,闵行,整租,1377.0,59.0,4890,高端房源,6845
412,闵行,整租,523.0,45.53,3490,高端房源,6845
413,闵行,整租,1699.0,68.0,4360,高端房源,6845
414,闵行,整租,1425.0,60.0,3990,高端房源,6845
415,闵行,整租,787.0,60.0,5290,高端房源,6845
416,闵行,整租,1593.0,40.0,3700,高端房源,6845
417,闵行,整租,523.0,43.0,3730,高端房源,6845
418,闵行,整租,2241.0,74.0,3360,高端房源,6845
419,闵行,整租,1301.0,66.0,5300,高端房源,6845
420,闵行,整租,1233.0,47.0,4460,高端房源,6845
421,闵行,整租,1871.0,48.0,3290,交通不便普通,6845
422,闵行,整租,780.0,55.0,5860,高端房源,6845
423,闵行,整租,669.0,125.0,8190,豪宅,6845
424,闵行,整租,1857.0,50.0,3990,高端房源,6845
425,闵行,整租,523.0,48.13,3790,高端房源,6845
426,闵行,整租,1383.0,55.0,5090,高端房源,6845
427,闵行,整租,1871.0,49.21,3490,高端房源,6845
428,闵行,整租,1379.0,48.98,3430,高端房源,6845
429,闵行,整租,1932.0,48.0,3230,交通不便普通,6845
430,闵行,整租,507.0,49.76,6100,高端房源,6845
431,闵行,整租,507.0,52.0,6250,高端房源,6845
432,闵行,整租,780.0,59.94,5860,高端房源,6845
433,闵行,整租,1107.0,57.0,5100,高端房源,6845
434,闵行,整租,797.0,50.0,5000,高端房源,6845
435,闵行,整租,339.0,62.84,5260,高端房源,6845
436,闵行,整租,523.0,43.0,3990,高端房源,6845
437,闵行,整租,1857.0,38.0,3590,交通不便普通,6845
438,闵行,整租,727.0,36.72,4690,高端房源,6845
439,闵行,整租,780.0,85.0,7690,豪宅,6845
440,闵行,整租,816.0,96.45,7590,豪宅,6845
441,闵行,整租,1402.0,16.0,4260,高端房源,6845
442,闵行,整租,507.0,100.32,8300,豪宅,6845
443,闵行,整租,706.0,79.0,7160,豪宅,6845
444,闵行,整租,2104.0,53.0,3460,交通不便普通,6845
445,闵行,整租,1650.0,65.0,4030,高端房源,6845
446,闵行,整租,1377.0,60.0,4860,高端房源,6845
447,闵行,整租,441.0,40.0,4600,高端房源,6845
448,闵行,整租,441.0,40.0,4610,高端房源,6845
449,闵行,整租,377.0,116.0,9400,豪宅,6845
450,闵行,整租,1857.0,32.64,3730,交通不便普通,6845
451,闵行,整租,413.0,67.17,6060,豪宅,6845
452,闵行,整租,1288.0,67.0,5400,豪宅,6845
453,闵行,整租,780.0,80.18,7690,豪宅,6845
454,闵行,整租,900.0,30.0,5200,高端房源,6845
455,闵行,整租,2286.0,69.0,4690,高端房源,6845
456,闵行,整租,1382.0,94.59,6500,豪宅,6845
457,闵行,整租,1383.0,49.0,5090,高端房源,6845
458,闵行,整租,1932.0,75.0,4190,高端房源,6845
459,闵行,整租,1991.0,73.19,5390,豪宅,6845
460,闵行,整租,900.0,36.02,5150,高端房源,6845
461,闵行,整租,900.0,35.0,5150,高端房源,6845
462,闵行,整租,1277.0,57.08,5290,高端房源,6845
463,闵行,整租,900.0,35.0,5250,高端房源,6845
464,闵行,整租,798.0,53.0,3260,高端房源,6845
465,闵行,整租,353.0,60.04,5400,高端房源,6845
466,闵行,整租,704.0,47.36,4190,高端房源,6845
467,闵行,整租,376.0,56.17,3660,高端房源,6845
468,闵行,整租,359.0,49.0,4790,高端房源,6845
469,闵行,整租,526.0,52.34,4860,高端房源,6845
470,闵行,整租,784.0,75.89,3690,高端房源,6845
471,闵行,整租,144.0,44.46,5060,高端房源,6845
472,闵行,整租,507.0,50.02,4690,高端房源,6845
473,闵行,整租,794.0,55.0,4490,高端房源,6845
474,闵行,整租,704.0,46.0,4490,高端房源,6845
475,闵行,整租,798.0,42.45,2730,高端房源,6845
476,闵行,整租,1313.0,67.39,4430,高端房源,6845
477,闵行,整租,1303.0,109.95,6270,豪宅,6845
478,闵行,整租,692.0,75.75,6870,豪宅,6845
479,闵行,整租,185.0,49.0,4490,高端房源,6845
480,闵行,整租,695.0,79.0,6430,豪宅,6845
